iter	Logloss
0	0.6931306332
1	0.6931167763
2	0.6930962796
3	0.6930801656
4	0.6930661997
5	0.6930546903
6	0.6930357173
7	0.6930138447
8	0.6930015852
9	0.6929909387
10	0.6929768334
11	0.6929634558
12	0.6929535126
13	0.6929386974
14	0.6929242612
15	0.6928951489
16	0.6928875544
17	0.6928731398
18	0.692858669
19	0.6928415813
20	0.6928254516
21	0.6928133652
22	0.6927991114
23	0.6927811084
24	0.6927709037
25	0.6927569361
26	0.6927387601
27	0.6927267428
28	0.6927077174
29	0.6926877517
30	0.6926712167
31	0.6926571552
32	0.6926316809
33	0.6926172344
34	0.6926092802
35	0.6925986029
36	0.6925860086
37	0.692580128
38	0.6925686304
39	0.6925534775
40	0.6925436355
41	0.6925297046
42	0.6925195488
43	0.6925033374
44	0.6924933398
45	0.6924827752
46	0.6924706542
47	0.6924597462
48	0.6924495983
49	0.6924396068
50	0.6924232007
51	0.6924081181
52	0.6923976242
53	0.6923870787
54	0.6923801031
55	0.692369719
56	0.6923565509
57	0.6923412461
58	0.6923182228
59	0.6923035964
60	0.6922867839
61	0.6922740591
62	0.6922623369
63	0.6922511812
64	0.6922355081
65	0.6922235116
66	0.6922107504
67	0.6922005358
68	0.6921911628
69	0.6921845708
70	0.6921642527
71	0.6921516783
72	0.6921409113
73	0.6921165142
74	0.6921009696
75	0.6920871657
76	0.692072438
77	0.6920539045
78	0.6920387616
79	0.6920259394
80	0.6920129491
81	0.6919947531
82	0.6919785462
83	0.6919660832
84	0.6919472436
85	0.6919302047
86	0.6919150465
87	0.6918964392
88	0.6918825772
89	0.6918682099
90	0.6918452332
91	0.6918311919
92	0.6918165205
93	0.6918008384
94	0.6917745416
95	0.6917588212
96	0.6917390303
97	0.6917224978
98	0.6917051471
99	0.6916882654
100	0.6916756044
101	0.6916603112
102	0.6916418803
103	0.6916271727
104	0.6916089194
105	0.6915904159
106	0.6915753852
107	0.6915620131
108	0.6915460986
109	0.6915290868
110	0.6915155595
111	0.6914959403
112	0.6914799972
113	0.6914610152
114	0.6914437228
115	0.6914258443
116	0.69140996
117	0.6913926685
118	0.6913779035
119	0.6913627967
120	0.691343631
121	0.6913265814
122	0.6913109027
123	0.6912871798
124	0.691263857
125	0.6912481992
126	0.6912324161
127	0.6912145806
128	0.6911929788
129	0.6911737387
130	0.6911593847
131	0.6911487458
132	0.6911284544
133	0.691113368
134	0.6910989895
135	0.6910815387
136	0.6910662747
137	0.6910475319
138	0.6910308317
139	0.691013696
140	0.6909953847
141	0.6909746796
142	0.6909570336
143	0.6909421261
144	0.6909250811
145	0.6909086314
146	0.6908917345
147	0.6908737684
148	0.6908566831
149	0.6908437683
150	0.690820349
151	0.6908038041
152	0.6907912711
153	0.6907762682
154	0.6907593794
155	0.6907363586
156	0.6907178223
157	0.6907026282
158	0.6906886189
159	0.6906716179
160	0.6906535603
161	0.6906352511
162	0.6906158745
163	0.6906036217
164	0.6905867726
165	0.6905739482
166	0.6905578139
167	0.6905425638
168	0.69052301
169	0.6905082676
170	0.6904927822
171	0.6904777131
172	0.6904604099
173	0.6904444965
174	0.6904298009
175	0.690414318
176	0.6904005731
177	0.6903820579
178	0.6903617815
179	0.6903475478
180	0.6903341791
181	0.6903136253
182	0.6902978534
