iter	Passed	Remaining
0	88	88467
1	136	67973
2	163	54433
3	189	47154
4	290	57765
5	390	64748
6	452	64143
7	494	61335
8	519	57224
9	568	56242
10	622	55990
11	687	56644
12	760	57755
13	865	60983
14	912	59892
15	968	59566
16	1029	59555
17	1072	58531
18	1111	57396
19	1144	56072
20	1188	55405
21	1227	54585
22	1256	53382
23	1300	52867
24	1386	54069
25	1500	56200
26	1578	56881
27	1669	57939
28	1728	57861
29	1792	57954
30	1851	57874
31	1918	58047
32	1980	58025
33	2077	59036
34	2152	59344
35	2234	59826
36	2336	60802
37	2393	60581
38	2460	60625
39	2534	60837
40	2716	63547
41	2886	65838
42	2983	66390
43	3069	66683
44	3147	66788
45	3243	67267
46	3414	69231
47	3595	71302
48	3688	71578
49	3801	72220
50	3885	72296
51	3935	71747
52	3987	71240
53	4024	70508
54	4055	69676
55	4100	69126
56	4140	68503
57	4172	67767
58	4224	67382
59	4277	67009
60	4334	66715
61	4415	66794
62	4478	66611
63	4583	67038
64	4737	68142
65	4870	68929
66	4937	68755
67	5051	69240
68	5221	70454
69	5374	71408
70	5481	71718
71	5548	71518
72	5636	71570
73	5694	71261
74	5753	70961
75	5849	71122
76	5966	71524
77	6046	71467
78	6125	71417
79	6166	70917
80	6225	70632
81	6280	70307
82	6327	69910
83	6377	69548
84	6418	69094
85	6465	68716
86	6504	68255
87	6554	67932
88	6599	67557
89	6643	67170
90	6681	66743
91	6743	66552
92	6846	66776
93	6926	66760
94	7000	66688
95	7046	66356
96	7082	65936
97	7133	65656
98	7163	65192
99	7196	64767
100	7237	64422
101	7271	64015
102	7304	63611
103	7336	63210
104	7368	62806
105	7397	62392
106	7427	61987
107	7457	61591
108	7487	61202
109	7519	60838
110	7557	60531
111	7590	60183
112	7641	59980
113	7671	59620
114	7707	59318
115	7737	58966
116	7768	58626
117	7799	58298
118	7828	57956
119	7857	57618
120	7885	57280
121	7913	56953
122	7944	56646
123	7975	56341
124	8014	56098
125	8044	55797
126	8069	55469
127	8097	55165
128	8126	54867
129	8154	54572
130	8181	54274
131	8210	53987
132	8239	53709
133	8267	53430
134	8297	53163
135	8325	52893
136	8355	52631
137	8382	52359
138	8412	52110
139	8440	51848
140	8468	51593
141	8496	51338
142	8526	51099
143	8553	50847
144	8581	50599
145	8608	50356
146	8636	50115
147	8664	49880
148	8691	49639
149	8718	49403
150	8745	49171
151	8767	48913
152	8794	48688
153	8820	48456
154	8853	48265
155	8878	48036
156	8907	47825
157	8934	47615
158	8960	47395
159	8987	47186
160	9015	46979
161	9043	46780
162	9070	46574
163	9097	46374
164	9124	46174
165	9150	45973
166	9176	45770
167	9204	45584
168	9234	45405
169	9263	45225
170	9291	45043
171	9318	44858
172	9349	44694
173	9375	44506
174	9402	44326
175	9428	44144
176	9455	43963
177	9482	43790
178	9509	43617
179	9535	43441
180	9562	43267
181	9589	43097
182	9616	42931
183	9642	42763
184	9670	42603
185	9697	42441
186	9724	42277
187	9751	42117
188	9777	41955
189	9805	41803
190	9832	41645
191	9859	41492
192	9887	41341
193	9914	41192
194	9940	41037
195	9967	40885
196	9997	40752
197	10030	40628
198	10066	40518
199	10156	40624
200	10283	40878
201	10390	41047
202	10535	41365
203	10607	41388
204	10674	41397
205	10708	41275
206	10735	41128
207	10758	40965
208	10785	40818
209	10812	40675
210	10841	40541
211	10871	40407
212	10928	40380
213	10982	40336
214	11010	40201
215	11036	40059
216	11064	39923
217	11090	39784
218	11118	39651
219	11146	39518
220	11172	39380
221	11197	39241
222	11222	39102
223	11247	38964
224	11273	38830
225	11302	38709
226	11327	38573
227	11354	38447
228	11380	38316
229	11406	38187
230	11432	38058
231	11459	37933
232	11485	37809
233	11511	37683
234	11537	37557
235	11564	37438
236	11592	37320
237	11617	37196
238	11644	37076
239	11671	36958
240	11699	36847
241	11727	36732
242	11754	36619
243	11783	36510
244	11810	36395
245	11843	36301
246	11886	36236
247	11917	36135
248	11951	36045
249	11977	35933
250	12003	35819
251	12030	35708
252	12055	35595
253	12082	35485
254	12107	35374
255	12133	35262
256	12158	35151
257	12185	35044
258	12209	34931
259	12233	34817
260	12259	34712
261	12286	34608
262	12312	34503
263	12338	34396
264	12364	34294
265	12391	34192
266	12416	34086
267	12443	33986
268	12469	33884
269	12496	33785
270	12521	33683
271	12549	33589
272	12576	33491
273	12604	33396
274	12633	33306
275	12661	33214
276	12689	33120
277	12715	33022
278	12743	32932
279	12771	32841
280	12798	32748
281	12846	32709
282	12888	32655
283	12928	32593
284	12965	32527
285	13006	32469
286	13040	32396
287	13076	32329
288	13108	32248
289	13138	32166
290	13171	32092
291	13203	32014
292	13230	31925
293	13257	31835
